table_id,program_id,courseID,semester,prof_id
1,1,1,Fall,1
2,1,2,Fall,2
3,1,3,Spring,30
4,1,4,Spring,3
5,1,5,Fall,4
6,1,6,Fall,4
7,1,7,Fall,30
8,1,7,Spring,30
9,2,8,Spring,38
10,2,8,Spring,39
11,2,9,Spring,40
12,2,9,Spring,41
13,2,10,Spring,34
14,2,11,Spring,35
15,2,12,Fall,33
16,2,12,Spring,36
17,2,13,Fall,32
18,2,14,Fall,32
19,2,13,Spring,32
20,2,13,Spring ,37
21,2,14,Spring,31
22,2,14,Spring,32
23,3,16,Unknown,Null
24,3,17,Unknown,Null
25,3,18,Unknown,Null
26,3,19,Unknown,Null
27,3,20,Unknown,Null
28,3,21,Unknown,Null
29,3,22,Unknown,Null
30,4,23,Spring,9
31,4,24,Spring,10
32,4,25,Spring,11
33,4,26,Spring,Null
34,4,27,Unknown,Null
35,4,28,Unknown,Null
36,5,29,Spring,6
37,5,29,Fall,Null
38,5,30,Spring,7
39,5,31,Spring,8
40,5,31,Fall,Null
41,5,32,Fall,5
42,5,32,Spring,null
43,6,33,Summer,Null
44,6,34,Fall,Null
45,6,35,Winter,Null
46,6,36,Fall,Null
47,6,37,Summer,Null
48,6,38,Winter,Null
49,6,39,Summer,Null
50,6,40,Spring,Null
51,6,41,Summer,Null
52,6,42,Spring,Null
53,6,43,Summer,Null
54,6,44,Winter,Null
55,6,45,Fall,Null
56,7,46,Fall,12
57,7,47,Fall,13
58,7,48,Fall,14
59,7,49,Fall,15
60,7,50,Fall,13
61,7,51,Fall,16
62,7,52,Fall,12
63,7,53,Fall,17
64,7,54,Fall,15
65,7,55,Fall,18
66,7,56,Fall ,12
67,8,57,Fall,Null
68,8,58,Fall,Null
69,8,59,Fall,Null
70,8,60,Fall,Null
71,8,61,Spring,Null
72,8,62,Spring,Null
73,8,63,Spring,Null
74,8,64,Fall,Null
75,8,65,Fall,Null
76,8,66,Fall,Null
77,9,67,Spring,20
78,9,68,Spring,21
79,9,69,Spring,22
80,9,70,Spring,23
81,10,71,Summer,Null
82,10,72,Summer,Null
83,10,73,Summer,Null
84,10,74,Fall,Null
85,10,75,Fall,Null
86,10,76,Fall,Null
87,10,77,Fall,Null
88,10,78,Fall,Null
89,10,79,Fall,Null
90,10,80,Fall,Null
91,10,81,Spring,Null
92,10,82,Spring,Null
93,10,83,Spring,Null
94,10,84,Spring,Null
95,10,85,Spring,Null
96,10,86,Spring,Null
97,10,87,Spring,Null
98,10,88,Spring,Null
99,10,89,Spring,Null
100,10,90,Spring,Null
101,11,91,Fall,null
102,11,92,Fall,null
103,11,93,Fall,null
104,11,93,Spring,29
105,11,94,Fall,null
106,11,95,Fall,null
107,11,96,Fall,24
108,11,96,Spring,null
109,11,97,Fall,26
110,11,98,Fall,null
111,11,99,Fall,null
112,11,100,Fall,null
113,11,101,Fall,null
114,11,102,Spring,28
115,11,103,Spring,null
116,11,104,Spring,null
117,11,105,Spring,null
118,11,106,Spring,25
119,11,107,Spring,26
120,11,108,Spring,27
121,11,109,Spring,null
122,11,110,Fall,19
123,11,111,Spring,null
124,12,112,Unknown,null
125,12,113,Unknown,null
126,12,114,Unknown,null
127,12,115,Unknown,null
128,12,116,Unknown,null
129,12,117,Unknown,null
130,12,118,Unknown,null
131,12,119,Unknown,null
132,12,120,Unknown,null
133,12,121,Unknown,null
