programID,costPerCredit,residency
1,1853.00,resident
2,1540.00,resident
3,695.00,resident
4,2835.00,resident
5,738.90,resident
6,1002.00,resident
7,1380.00,resident
8,717.00,resident
9,728.00,resident
10,1408.00,resident
11,383.00,resident
12,1000.00,resident
1,1853.00,non-resident
2,1540.00,non-resident
3,695.00,non-resident
4,2835.00,non-resident
5,1528.05,non-resident
6,1002.00,non-resident
7,1380.00,non-resident
8,1548.00,non-resident
9,1493.00,non-resident
10,1408.00,non-resident
11,915.00,non-resident
12,1000.00,non-resident
